City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
342,Geraldton,AU,86.0,scattered clouds,-28.77,114.6,Broadwater Mariner Resort
345,Eyl,SO,77.0,overcast clouds,7.98,49.82,Amiin Hotel
349,Isangel,VU,84.2,few clouds,-19.55,169.27,Volcano Sea View Tree House
360,Mlalo,TZ,78.39,overcast clouds,-4.93,38.93,
363,Esperance,AU,78.8,scattered clouds,-33.87,121.9,Hospitality Esperance
369,Siocon,PH,80.76,clear sky,7.71,122.14,MSWDO
376,Veraval,IN,76.03,clear sky,20.9,70.37,Lords Inn Somnath
378,Ocos,GT,78.8,clear sky,14.51,-92.19,La Bajadita
382,Maria Aurora,PH,76.35,clear sky,15.8,121.47,Mario's Inn & Restaurant
388,Samarinda,ID,89.64,clear sky,-0.5,117.15,Aston Samarinda Hotel & Convention Center
389,Moss Vale,AU,78.8,broken clouds,-34.55,150.38,Heronswood House
395,Ambulu,ID,82.4,clear sky,-8.35,113.61,Hotel Ambulu Jember
409,Tiarei,PF,86.0,shower rain,-17.53,-149.33,Le Rocher de Tahiti
412,Oistins,BB,77.0,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
415,Matnog,PH,79.43,clear sky,12.59,124.09,Villa Amada
416,Kampong Thum,KH,87.19,few clouds,12.71,104.89,Sambor Village Hotel
418,Padang,ID,78.33,clear sky,-0.95,100.35,Mercure Padang
419,Abengourou,CI,75.31,broken clouds,6.73,-3.5,Hotel des Princes
421,San Cristobal,VE,80.6,haze,7.77,-72.22,Pirineos
423,Grand Gaube,MU,75.99,shower rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
429,Panama City,PA,80.01,overcast clouds,8.99,-79.52,Trump International Hotel & Tower Panama
431,Vaitape,PF,83.26,broken clouds,-16.52,-151.75,Conrad Bora Bora Nui
432,Banda Aceh,ID,83.62,clear sky,5.56,95.32,OYO 884 Rumoh PMI Hotel
448,Akaltara,IN,75.42,clear sky,22.02,82.43,Hotel Brindavan
452,Kavaratti,IN,81.93,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
460,Port Pirie,AU,84.2,clear sky,-33.18,138.02,John Pirie Motor Inn
462,Nisia Floresta,BR,80.6,scattered clouds,-6.09,-35.21,Rancho Crepusculo
465,Abeokuta,NG,82.4,scattered clouds,7.15,3.35,Park Inn by Radisson Abeokuta
476,Kourou,GF,80.6,overcast clouds,5.16,-52.65,Lodge Takini 4
486,Coruripe,BR,80.92,few clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
491,Adrar,MR,78.66,overcast clouds,20.5,-10.07,
496,Bubaque,GW,78.66,broken clouds,11.28,-15.83,Casa Dora
505,Omboue,GA,76.46,overcast clouds,-1.57,9.26,Hotel Olako
508,Quatre Cocos,MU,75.99,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
510,Bucerias,MX,78.8,few clouds,20.75,-105.33,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
514,Gondanglegi,ID,85.06,clear sky,-7.75,112.01,Gg. Munasir Homestay
519,San Patricio,MX,77.0,clear sky,19.22,-104.7,Hotel Cabo Blanco
521,Limbang,MY,86.0,scattered clouds,4.75,115.0,Purnama Hotel
526,Mount Gambier,AU,78.8,clear sky,-37.83,140.77,Best Western Southgate Motel
527,Saint-Pierre,RE,77.0,overcast clouds,-21.34,55.48,Lindsey Hôtel
534,Port Macquarie,AU,78.01,scattered clouds,-31.43,152.92,Rydges Port Macquarie
537,Souillac,MU,75.99,shower rain,-20.52,57.52,Bils' Villa
543,Vila Velha,BR,77.0,thunderstorm,-20.33,-40.29,Hotel Vitória Palace
546,Monrovia,LR,77.0,mist,6.3,-10.8,Eco-Hotel Hall & Restaurant
557,Inongo,CD,75.4,scattered clouds,-1.95,18.27,Hotel Du Lac
563,Acapulco,MX,80.6,clear sky,16.86,-99.89,Crowne Plaza Acapulco
